Date,Days elapsed,Nemas Added,Recovered (mL),Average in 100 uL,Average in 1 mL,Observed Recovery,Estimated Recovery ,Estimated % Recovery
8/6/2023,6,304,20,0,0,0,0,0%
8/6/2023,6,304,17,0.2,2,34,54,18%
8/6/2023,6,304,20,0,0,0,0,0%
9/20/2023,6,510,21,0.6,6,126,200,39%
9/20/2023,6,510,23,0.4,4,92,146,29%
9/20/2023,6,510,21.5,0.6,6,129,205,40%
9/20/2023,6,510,26,0.8,8,208,330,65%
7/24/2023,7c,0,12.5,0,0,0,0,0%
7/24/2023,7c,0,12,0,0,0,0,0%
7/24/2023,7c,0,14,0,0,0,0,0%
8/7/2023,7c,0,19.5,0,0,0,0,0%
9/20/2023,7c,0,22.5,0,0,0,0,0%
7/12/2023,7,421,13.8,0.8,8,110,175,42%
7/12/2023,7,421,11,0.8,8,88,140,33%
7/12/2023,7,421,11.4,0.6,6,68,109,26%
7/12/2023,7,421,13.2,0.4,4,53,84,20%
7/24/2023,7,410,13,0.4,4,52,83,20%
7/24/2023,7,410,15,0,0,0,0,0%
7/24/2023,7,410,13,0.2,2,26,41,10%
7/24/2023,7,410,15.5,0,0,0,0,0%
8/7/2023,7,304,20,0,0,0,0,0%
8/7/2023,7,304,21,0.2,2,42,67,22%
8/7/2023,7,304,18,0.4,4,72,114,38%
9/20/2023,7,510,23,0.2,2,46,73,14%
9/20/2023,7,510,20,0.2,2,40,63,12%
9/20/2023,7,510,22,0.2,2,44,70,14%
9/20/2023,7,510,21,0.2,2,42,67,13%
7/25/2023,8c,0,17,0,0,0,0,0%
7/25/2023,8c,0,15.5,0,0,0,0,0%
7/25/2023,8c,0,15,0,0,0,0,0%
8/8/2023,8c,0,21,0,0,0,0,0%
9/21/2023,8c,0,20,0,0,0,0,0%
7/13/2023,8,421,11.2,0.4,4,45,71,17%
7/13/2023,8,421,11,0.4,4,44,70,17%
7/13/2023,8,421,11.6,0.2,2,23,37,9%
7/13/2023,8,421,11.4,0.2,2,23,36,9%
7/25/2023,8,410,14.5,0,0,0,0,0%
7/25/2023,8,410,12.5,0.2,2,25,40,10%
7/25/2023,8,410,15.5,0.2,2,31,49,12%
7/25/2023,8,410,15,0,0,0,0,0%
8/8/2023,8,304,21,0,0,0,0,0%
8/8/2023,8,304,23,0,0,0,0,0%
8/8/2023,8,304,20,0.6,6,120,190,63%
9/21/2023,8,510,21,0.2,2,42,67,13%
9/21/2023,8,510,23,0.2,2,46,73,14%
9/21/2023,8,510,21,0,0,0,0,0%
9/21/2023,8,510,22,0,0,0,0,0%
7/26/2023,9c,0,13,0,0,0,0,0%
7/26/2023,9c,0,13,0,0,0,0,0%
7/26/2023,9c,0,15,0,0,0,0,0%
8/9/2023,9c,0,21,0,0,0,0,0
7/14/2023,9,421,12.4,0,0,0,0,0%
7/14/2023,9,421,12.8,0.2,2,26,41,10%
7/14/2023,9,421,13.4,0.2,2,27,43,10%
7/14/2023,9,421,14.4,0.4,4,58,91,22%
7/26/2023,9,410,16,0.2,2,32,51,12%
7/26/2023,9,410,15,0,0,0,0,0%
7/26/2023,9,410,15,0.2,2,30,48,12%
7/26/2023,9,410,14,0,0,0,0,0%
8/9/2023,9,304,19,0.2,2,38,60,20%
8/9/2023,9,304,18,0,0,0,0,0%
8/9/2023,9,304,18,0.2,2,36,57,19%
